fbid,mother_tongue,locality,occupation,age,pages_liked_1,pages_liked_2,pages_liked_3,gender,marital_status,education_school,education_college
100420,German,ca_ES,Civil Engineer,22,Shopmania,J.K Rowling,Narendra Modi,F,single,Oxford School,CMU
100421,Hindi,ca_ES,Teacher,39,Narendra Modi,A.P.J Abdul Kalam,Shopmania,M,Married,Oxford School,CMU
100422,Portugese,ca_ES,General Physician,33,Mitacs Globalink,Shopmania,Silicon Valley,M,single,Mount Carmel,MIT
100423,Hindi,es_LA,Neurologist,30,J.K Rowling,Vidyamandir Classes,Disha Patani,F,single,Oxford School,Amity
100424,Chinese,cx_PH,Neurologist,38,Terrible Tiny Tales,J.K Rowling,Shopmania,F,Married,DPS,MIT
100425,German,da_DK,Business Man,24,A.P.J Abdul Kalam,MS Dhoni,Shopmania,F,single,Indraprastha School,Amity
100426,English,es_ES,Dentist,24,Narendra Modi,Shopmania,Terrible Tiny Tales,M,Married,Indraprastha School,Maharaja Surajmal
100427,Portugese,cy_GB,Business Man,27,Mitacs Globalink,A.P.J Abdul Kalam,Narendra Modi,F,Married,Oxford School,CMU
100428,German,cs_CZ,Dentist,25,A.P.J Abdul Kalam,Disha Patani,MS Dhoni,M,single,Mount Carmel,MIT
100429,Spanish,gn_PY,General Physician,27,A.P.J Abdul Kalam,MS Dhoni,J.K Rowling,F,Married,Neo Convent,Delhi technological University
100430,Spanish,da_DK,General Physician,26,Shopmania,Terrible Tiny Tales,J.K Rowling,M,single,DPS,Amity
100431,Chinese,es_ES,Neurologist,37,J.K Rowling,Narendra Modi,Mitacs Globalink,M,Married,DPS,Maharaja Surajmal
100432,Spanish,gn_PY,Teacher,32,Silicon Valley,Shopmania,Terrible Tiny Tales,M,single,Neo Convent,Maharaja Surajmal
100433,Chinese,es_ES,Dentist,25,J.K Rowling,A.P.J Abdul Kalam,Narendra Modi,F,single,Mount Carmel,Maharaja Surajmal
100434,Chinese,cx_PH,Dentist,36,Silicon Valley,Shopmania,Vidyamandir Classes,M,Married,Mount Carmel,CMU
100435,Hindi,en_US,Civil Engineer,33,J.K Rowling,A.P.J Abdul Kalam,Shopmania,M,single,Indraprastha School,Maharaja Surajmal
100436,Portugese,gn_PY,General Physician,38,A.P.J Abdul Kalam,Narendra Modi,J.K Rowling,F,single,DPS,Maharaja Surajmal
100437,Spanish,en_UD,Computer Engineer,23,Mitacs Globalink,Terrible Tiny Tales,MS Dhoni,F,single,Neo Convent,Delhi technological University
100438,German,eu_ES,Teacher,27,Narendra Modi,Silicon Valley,Terrible Tiny Tales,F,single,Oxford School,MIT
100439,Chinese,es_ES,Neurologist,25,MS Dhoni,Shopmania,Mitacs Globalink,M,single,Neo Convent,Amity
100440,Hindi,eu_ES,Computer Engineer,24,Silicon Valley,A.P.J Abdul Kalam,Mitacs Globalink,M,single,Oxford School,Delhi technological University
100441,Chinese,en_UD,Teacher,27,Shopmania,Mitacs Globalink,MS Dhoni,F,single,DPS,MIT
100442,German,da_DK,Teacher,32,Silicon Valley,Terrible Tiny Tales,A.P.J Abdul Kalam,M,single,Oxford School,Maharaja Surajmal
100443,Spanish,ca_ES,Teacher,31,Narendra Modi,A.P.J Abdul Kalam,Silicon Valley,M,single,Oxford School,MIT
100444,German,cy_GB,General Physician,38,J.K Rowling,MS Dhoni,Shopmania,M,single,Indraprastha School,CMU
100445,English,eu_ES,Mechanical Engineer,30,Narendra Modi,Mitacs Globalink,J.K Rowling,M,Married,Mount Carmel,Amity
100446,Chinese,da_DK,Neurologist,40,Disha Patani,A.P.J Abdul Kalam,Mitacs Globalink,M,single,DPS,Maharaja Surajmal
100447,Chinese,cx_PH,Business Man,20,Disha Patani,Mitacs Globalink,J.K Rowling,M,single,Indraprastha School,Delhi technological University
100448,Portugese,cy_GB,Dentist,39,J.K Rowling,Narendra Modi,Vidyamandir Classes,M,Married,Neo Convent,Amity
100449,Hindi,cs_CZ,Civil Engineer,29,MS Dhoni,Mitacs Globalink,A.P.J Abdul Kalam,F,Married,Indraprastha School,CMU
100450,English,en_US,Teacher,39,Narendra Modi,Shopmania,Mitacs Globalink,F,single,Indraprastha School,Amity
100451,Spanish,eu_ES,Neurologist,26,Shopmania,A.P.J Abdul Kalam,Narendra Modi,M,single,Neo Convent,Delhi technological University
100452,Hindi,de_DE,Dentist,21,Shopmania,Disha Patani,Mitacs Globalink,M,Married,DPS,CMU
100453,Hindi,eu_ES,Civil Engineer,22,Terrible Tiny Tales,Silicon Valley,Disha Patani,M,single,Mount Carmel,MIT
100454,English,gn_PY,Dentist,26,Shopmania,Mitacs Globalink,A.P.J Abdul Kalam,M,single,Oxford School,Maharaja Surajmal
100455,German,en_US,General Physician,39,Shopmania,Disha Patani,A.P.J Abdul Kalam,M,Married,Mount Carmel,CMU
100456,English,ca_ES,Neurologist,32,A.P.J Abdul Kalam,Disha Patani,Mitacs Globalink,F,Married,Mount Carmel,MIT
100457,English,da_DK,Neurologist,31,Narendra Modi,Disha Patani,Silicon Valley,M,single,Indraprastha School,Maharaja Surajmal
100458,Spanish,en_US,Computer Engineer,35,A.P.J Abdul Kalam,Disha Patani,MS Dhoni,F,Married,Indraprastha School,Amity
100459,Portugese,es_ES,Computer Engineer,30,Disha Patani,Narendra Modi,MS Dhoni,F,single,Neo Convent,MIT
100460,Chinese,gn_PY,Business Man,34,Narendra Modi,J.K Rowling,A.P.J Abdul Kalam,M,single,DPS,Delhi technological University
100461,Hindi,eu_ES,Dentist,21,MS Dhoni,Shopmania,Silicon Valley,F,Married,Oxford School,Amity
100462,Hindi,cy_GB,Teacher,36,J.K Rowling,Vidyamandir Classes,Mitacs Globalink,M,single,Indraprastha School,MIT
100463,German,eu_ES,Business Man,27,Vidyamandir Classes,Narendra Modi,Terrible Tiny Tales,F,Married,Indraprastha School,MIT
100464,English,ca_ES,Civil Engineer,25,Silicon Valley,A.P.J Abdul Kalam,MS Dhoni,M,single,Neo Convent,Delhi technological University
100465,Spanish,de_DE,Business Man,23,Mitacs Globalink,A.P.J Abdul Kalam,Terrible Tiny Tales,F,single,Neo Convent,Delhi technological University
100466,German,en_US,Neurologist,32,MS Dhoni,Mitacs Globalink,Terrible Tiny Tales,F,single,Mount Carmel,CMU
100467,Hindi,en_UD,Neurologist,32,Silicon Valley,Terrible Tiny Tales,A.P.J Abdul Kalam,M,Married,Indraprastha School,MIT
100468,Portugese,es_LA,General Physician,37,Disha Patani,J.K Rowling,Mitacs Globalink,M,single,Oxford School,MIT
100469,Chinese,es_ES,Business Man,27,MS Dhoni,J.K Rowling,Shopmania,F,Married,DPS,CMU
100470,Hindi,de_DE,Dentist,27,J.K Rowling,Terrible Tiny Tales,A.P.J Abdul Kalam,F,Married,Oxford School,CMU
100471,German,es_LA,Mechanical Engineer,31,Narendra Modi,Vidyamandir Classes,J.K Rowling,M,Married,Oxford School,CMU
100472,German,en_US,Teacher,40,Disha Patani,MS Dhoni,Shopmania,M,Married,Indraprastha School,Maharaja Surajmal
100473,English,en_US,Business Man,30,Disha Patani,MS Dhoni,Narendra Modi,M,single,Neo Convent,Amity
100474,Portugese,cx_PH,Neurologist,36,Narendra Modi,A.P.J Abdul Kalam,MS Dhoni,M,single,Oxford School,Delhi technological University
100475,Hindi,cx_PH,General Physician,30,Silicon Valley,A.P.J Abdul Kalam,Narendra Modi,F,single,Mount Carmel,Amity
100476,German,es_LA,Neurologist,20,Vidyamandir Classes,Shopmania,Mitacs Globalink,F,single,Mount Carmel,Delhi technological University
100477,English,da_DK,General Physician,32,J.K Rowling,Terrible Tiny Tales,A.P.J Abdul Kalam,F,single,Neo Convent,CMU
100478,Hindi,cx_PH,General Physician,20,Vidyamandir Classes,A.P.J Abdul Kalam,Terrible Tiny Tales,F,Married,Oxford School,Amity
100479,German,en_US,General Physician,35,MS Dhoni,Mitacs Globalink,Shopmania,M,single,Indraprastha School,Delhi technological University
100480,Spanish,es_ES,Computer Engineer,32,Narendra Modi,Shopmania,Mitacs Globalink,F,Married,Neo Convent,Maharaja Surajmal
100481,Portugese,es_LA,General Physician,40,Terrible Tiny Tales,Silicon Valley,Shopmania,F,Married,Neo Convent,Amity
100482,Chinese,cs_CZ,Civil Engineer,37,Mitacs Globalink,Terrible Tiny Tales,Silicon Valley,M,Married,Mount Carmel,CMU
100483,English,eu_ES,Neurologist,38,Vidyamandir Classes,MS Dhoni,Terrible Tiny Tales,F,single,Oxford School,MIT
100484,German,cx_PH,Business Man,30,Terrible Tiny Tales,Silicon Valley,A.P.J Abdul Kalam,M,Married,Indraprastha School,Maharaja Surajmal
100485,German,en_UD,Teacher,38,Shopmania,MS Dhoni,Mitacs Globalink,F,Married,Mount Carmel,Maharaja Surajmal
100486,Chinese,eu_ES,Teacher,21,Vidyamandir Classes,Silicon Valley,J.K Rowling,F,single,Oxford School,CMU
100487,German,en_US,Neurologist,38,Disha Patani,Mitacs Globalink,Vidyamandir Classes,M,single,Indraprastha School,CMU
100488,Hindi,eu_ES,Computer Engineer,25,Silicon Valley,Vidyamandir Classes,Mitacs Globalink,F,Married,Indraprastha School,Delhi technological University
100489,Chinese,en_UD,Business Man,38,Vidyamandir Classes,MS Dhoni,Terrible Tiny Tales,M,Married,Mount Carmel,CMU
100490,English,gn_PY,Neurologist,28,A.P.J Abdul Kalam,Shopmania,Terrible Tiny Tales,F,single,Indraprastha School,CMU
100491,Spanish,es_LA,Civil Engineer,23,Narendra Modi,Shopmania,Disha Patani,M,single,Neo Convent,Maharaja Surajmal
100492,Chinese,cs_CZ,Mechanical Engineer,28,Terrible Tiny Tales,A.P.J Abdul Kalam,J.K Rowling,M,single,Indraprastha School,MIT
100493,English,en_US,Dentist,24,MS Dhoni,A.P.J Abdul Kalam,Silicon Valley,F,single,Mount Carmel,CMU
100494,German,da_DK,General Physician,26,Silicon Valley,Vidyamandir Classes,Terrible Tiny Tales,F,single,Indraprastha School,Delhi technological University
100495,Spanish,en_US,General Physician,30,Silicon Valley,A.P.J Abdul Kalam,Narendra Modi,M,Married,DPS,MIT
100496,Hindi,cy_GB,Teacher,24,J.K Rowling,Shopmania,MS Dhoni,M,single,Oxford School,Maharaja Surajmal
100497,Chinese,en_UD,Civil Engineer,37,Disha Patani,MS Dhoni,Vidyamandir Classes,M,Married,Neo Convent,Maharaja Surajmal
100498,Chinese,eu_ES,Teacher,29,Vidyamandir Classes,Silicon Valley,Shopmania,F,Married,Indraprastha School,Amity
100499,Spanish,es_LA,Dentist,28,Mitacs Globalink,J.K Rowling,Silicon Valley,M,single,Oxford School,CMU
100500,Spanish,en_UD,Mechanical Engineer,22,Mitacs Globalink,Narendra Modi,Disha Patani,M,single,Indraprastha School,MIT
100501,German,da_DK,Mechanical Engineer,39,J.K Rowling,Mitacs Globalink,Disha Patani,F,single,Oxford School,Amity
100502,Hindi,es_LA,Business Man,23,Disha Patani,Narendra Modi,Terrible Tiny Tales,F,single,Neo Convent,Amity
100503,Spanish,da_DK,General Physician,40,Vidyamandir Classes,MS Dhoni,A.P.J Abdul Kalam,F,single,Oxford School,Amity
100504,Hindi,en_US,Dentist,27,MS Dhoni,Narendra Modi,A.P.J Abdul Kalam,M,single,Oxford School,CMU
100505,Hindi,es_ES,Business Man,34,A.P.J Abdul Kalam,J.K Rowling,Disha Patani,F,Married,Indraprastha School,Amity
100506,Chinese,de_DE,Civil Engineer,32,Shopmania,Disha Patani,Silicon Valley,M,Married,Indraprastha School,Amity
100507,German,es_ES,Neurologist,23,Shopmania,Disha Patani,Silicon Valley,M,single,Indraprastha School,MIT
100508,Chinese,cs_CZ,Civil Engineer,24,Mitacs Globalink,Narendra Modi,Shopmania,M,Married,Indraprastha School,CMU
100509,Hindi,da_DK,Computer Engineer,23,Disha Patani,A.P.J Abdul Kalam,Shopmania,F,single,Mount Carmel,Maharaja Surajmal
100510,Chinese,es_LA,General Physician,39,Silicon Valley,Mitacs Globalink,MS Dhoni,F,single,Mount Carmel,Delhi technological University
100511,Spanish,ca_ES,Dentist,20,Mitacs Globalink,Disha Patani,Silicon Valley,F,Married,Mount Carmel,Delhi technological University
100512,Portugese,es_ES,Computer Engineer,22,MS Dhoni,Mitacs Globalink,J.K Rowling,M,single,Oxford School,Maharaja Surajmal
100513,Chinese,da_DK,Neurologist,38,Disha Patani,MS Dhoni,J.K Rowling,M,Married,Neo Convent,Amity
100514,German,en_UD,Teacher,20,MS Dhoni,Silicon Valley,Terrible Tiny Tales,M,Married,Oxford School,MIT
100515,German,ca_ES,Neurologist,31,Disha Patani,Terrible Tiny Tales,Mitacs Globalink,F,single,Indraprastha School,Amity
100516,German,es_LA,Teacher,27,MS Dhoni,J.K Rowling,Vidyamandir Classes,F,single,Neo Convent,Delhi technological University
100517,Spanish,es_LA,Teacher,38,Disha Patani,Silicon Valley,Narendra Modi,F,Married,DPS,Delhi technological University
100518,English,gn_PY,Neurologist,37,Narendra Modi,Terrible Tiny Tales,Silicon Valley,F,single,Oxford School,CMU
100519,German,ca_ES,Teacher,28,Disha Patani,Narendra Modi,Terrible Tiny Tales,M,single,Neo Convent,CMU
100520,Portugese,eu_ES,General Physician,26,Disha Patani,Vidyamandir Classes,Shopmania,M,Married,Indraprastha School,Amity
100521,Portugese,en_US,Teacher,37,Vidyamandir Classes,Disha Patani,Terrible Tiny Tales,M,single,Oxford School,MIT
100522,Spanish,es_ES,Mechanical Engineer,40,J.K Rowling,Silicon Valley,Vidyamandir Classes,M,single,Mount Carmel,CMU
100523,Portugese,cy_GB,Dentist,20,Disha Patani,Vidyamandir Classes,Shopmania,F,single,Indraprastha School,MIT
100524,Hindi,cx_PH,Neurologist,37,Shopmania,A.P.J Abdul Kalam,Vidyamandir Classes,F,Married,Indraprastha School,MIT
100525,Portugese,en_UD,Computer Engineer,39,Silicon Valley,Disha Patani,Shopmania,M,single,Oxford School,Amity
100526,Hindi,cy_GB,Civil Engineer,26,MS Dhoni,Mitacs Globalink,Narendra Modi,F,single,Oxford School,CMU
100527,Hindi,cx_PH,Civil Engineer,23,J.K Rowling,Terrible Tiny Tales,Vidyamandir Classes,M,Married,Mount Carmel,Delhi technological University
100528,German,de_DE,Business Man,31,Terrible Tiny Tales,Silicon Valley,Disha Patani,F,single,Neo Convent,CMU
100529,Spanish,cx_PH,Mechanical Engineer,26,Silicon Valley,Disha Patani,Shopmania,F,single,Indraprastha School,CMU
100530,Chinese,cs_CZ,Neurologist,29,J.K Rowling,Disha Patani,Shopmania,F,Married,Mount Carmel,Delhi technological University
100531,Portugese,da_DK,Mechanical Engineer,23,A.P.J Abdul Kalam,MS Dhoni,Mitacs Globalink,M,single,Indraprastha School,CMU
100532,Hindi,cy_GB,Teacher,34,Shopmania,Terrible Tiny Tales,MS Dhoni,F,Married,DPS,Amity
100533,Chinese,es_ES,Computer Engineer,36,Shopmania,A.P.J Abdul Kalam,Disha Patani,M,single,Oxford School,MIT
100534,German,eu_ES,General Physician,37,Narendra Modi,Mitacs Globalink,Vidyamandir Classes,M,Married,Oxford School,Maharaja Surajmal
100535,German,es_ES,Teacher,29,Disha Patani,A.P.J Abdul Kalam,Silicon Valley,F,single,Indraprastha School,Maharaja Surajmal
100536,English,eu_ES,Dentist,22,Narendra Modi,A.P.J Abdul Kalam,Disha Patani,F,Married,DPS,MIT
100537,Chinese,cy_GB,Neurologist,23,Terrible Tiny Tales,Narendra Modi,J.K Rowling,F,single,Neo Convent,CMU
100538,Portugese,da_DK,General Physician,22,Mitacs Globalink,J.K Rowling,Silicon Valley,M,Married,Oxford School,Amity
100539,Hindi,en_UD,Mechanical Engineer,39,Vidyamandir Classes,J.K Rowling,Narendra Modi,M,single,Mount Carmel,Delhi technological University
100540,English,cy_GB,Computer Engineer,37,Vidyamandir Classes,Narendra Modi,A.P.J Abdul Kalam,F,single,Neo Convent,Amity
100541,English,eu_ES,Computer Engineer,34,Silicon Valley,Mitacs Globalink,MS Dhoni,M,Married,DPS,MIT
100542,Portugese,gn_PY,Computer Engineer,23,Vidyamandir Classes,Terrible Tiny Tales,Silicon Valley,F,Married,Oxford School,Maharaja Surajmal
100543,Portugese,cs_CZ,Computer Engineer,40,J.K Rowling,Shopmania,Vidyamandir Classes,M,Married,DPS,MIT
100544,Hindi,ca_ES,Civil Engineer,33,Shopmania,J.K Rowling,Silicon Valley,M,Married,Indraprastha School,MIT
100545,Spanish,cy_GB,Teacher,32,J.K Rowling,Narendra Modi,A.P.J Abdul Kalam,M,single,Mount Carmel,MIT
100546,Spanish,cx_PH,Dentist,27,Shopmania,Vidyamandir Classes,Mitacs Globalink,M,single,Neo Convent,Maharaja Surajmal
100547,Spanish,eu_ES,Computer Engineer,40,Narendra Modi,MS Dhoni,Vidyamandir Classes,M,Married,Neo Convent,Maharaja Surajmal
100548,Spanish,gn_PY,Civil Engineer,28,Vidyamandir Classes,J.K Rowling,Mitacs Globalink,M,single,Mount Carmel,CMU
100549,Portugese,es_LA,Neurologist,25,Mitacs Globalink,J.K Rowling,Silicon Valley,F,single,Neo Convent,MIT
100550,English,en_UD,Neurologist,28,Narendra Modi,Terrible Tiny Tales,Disha Patani,M,single,Mount Carmel,Maharaja Surajmal
100551,German,de_DE,Neurologist,30,Mitacs Globalink,Silicon Valley,MS Dhoni,F,Married,Indraprastha School,Amity
100552,Spanish,gn_PY,Mechanical Engineer,24,Shopmania,A.P.J Abdul Kalam,J.K Rowling,M,single,Neo Convent,Amity
100553,Spanish,en_UD,Mechanical Engineer,30,MS Dhoni,Vidyamandir Classes,Narendra Modi,M,single,DPS,MIT
100554,Hindi,gn_PY,Computer Engineer,31,Vidyamandir Classes,MS Dhoni,Narendra Modi,F,single,Mount Carmel,Maharaja Surajmal
100555,German,de_DE,Dentist,22,Shopmania,MS Dhoni,A.P.J Abdul Kalam,M,single,Oxford School,CMU
100556,Spanish,es_ES,General Physician,37,Silicon Valley,MS Dhoni,Disha Patani,M,single,Oxford School,Amity
100557,Chinese,eu_ES,General Physician,32,Vidyamandir Classes,Silicon Valley,MS Dhoni,F,single,Oxford School,Amity
100558,Portugese,cs_CZ,Neurologist,27,Terrible Tiny Tales,A.P.J Abdul Kalam,Vidyamandir Classes,M,single,DPS,Maharaja Surajmal
100559,Chinese,es_LA,Civil Engineer,40,J.K Rowling,A.P.J Abdul Kalam,Disha Patani,F,single,DPS,CMU
100560,German,ca_ES,Civil Engineer,28,Terrible Tiny Tales,Vidyamandir Classes,Shopmania,M,Married,Oxford School,CMU
100561,Chinese,en_US,Computer Engineer,25,Disha Patani,J.K Rowling,MS Dhoni,F,Married,Oxford School,Delhi technological University
100562,Hindi,cs_CZ,General Physician,31,Vidyamandir Classes,J.K Rowling,Narendra Modi,M,single,Oxford School,MIT
100563,German,ca_ES,Neurologist,31,MS Dhoni,Mitacs Globalink,Shopmania,M,single,Mount Carmel,Maharaja Surajmal
100564,English,cs_CZ,Teacher,20,A.P.J Abdul Kalam,Shopmania,Mitacs Globalink,F,single,Indraprastha School,MIT
100565,Portugese,da_DK,General Physician,34,Silicon Valley,MS Dhoni,Mitacs Globalink,M,single,Neo Convent,Delhi technological University
100566,Portugese,cy_GB,Mechanical Engineer,24,J.K Rowling,A.P.J Abdul Kalam,Disha Patani,F,single,DPS,Maharaja Surajmal
100567,Chinese,de_DE,Civil Engineer,35,Narendra Modi,Mitacs Globalink,Terrible Tiny Tales,F,single,DPS,Delhi technological University
100568,German,cx_PH,Computer Engineer,39,Narendra Modi,Shopmania,Terrible Tiny Tales,F,single,DPS,CMU
100569,German,cx_PH,Mechanical Engineer,33,Shopmania,Mitacs Globalink,Narendra Modi,F,Married,Oxford School,MIT
100570,Chinese,eu_ES,Mechanical Engineer,37,A.P.J Abdul Kalam,Narendra Modi,J.K Rowling,F,single,Oxford School,MIT
100571,English,de_DE,Business Man,27,A.P.J Abdul Kalam,J.K Rowling,MS Dhoni,M,single,Mount Carmel,CMU
100572,Hindi,gn_PY,General Physician,40,A.P.J Abdul Kalam,Vidyamandir Classes,J.K Rowling,M,single,DPS,Delhi technological University
100573,Portugese,da_DK,Business Man,30,Narendra Modi,Vidyamandir Classes,Terrible Tiny Tales,M,Married,Oxford School,Amity
100574,Chinese,cx_PH,Business Man,23,Disha Patani,Vidyamandir Classes,J.K Rowling,M,Married,Mount Carmel,Amity
100575,English,es_LA,General Physician,40,Terrible Tiny Tales,MS Dhoni,Narendra Modi,M,Married,Indraprastha School,Amity
100576,German,cx_PH,Business Man,37,Mitacs Globalink,J.K Rowling,Terrible Tiny Tales,F,Married,Indraprastha School,CMU
100577,German,cs_CZ,Civil Engineer,33,MS Dhoni,Mitacs Globalink,Disha Patani,F,Married,DPS,Amity
100578,English,cy_GB,Mechanical Engineer,29,A.P.J Abdul Kalam,Silicon Valley,MS Dhoni,F,Married,Indraprastha School,Amity
100579,Portugese,es_LA,Computer Engineer,20,Disha Patani,MS Dhoni,Terrible Tiny Tales,M,Married,Indraprastha School,Amity
100580,Chinese,cy_GB,Computer Engineer,34,Shopmania,J.K Rowling,Terrible Tiny Tales,M,single,Oxford School,CMU
100581,English,de_DE,Computer Engineer,21,J.K Rowling,Mitacs Globalink,A.P.J Abdul Kalam,M,single,Neo Convent,CMU
100582,Spanish,cs_CZ,Business Man,33,Silicon Valley,A.P.J Abdul Kalam,Narendra Modi,M,Married,Mount Carmel,Delhi technological University
100583,English,cs_CZ,Business Man,25,Shopmania,J.K Rowling,A.P.J Abdul Kalam,M,Married,Indraprastha School,Maharaja Surajmal
100584,German,cy_GB,Dentist,27,Terrible Tiny Tales,Mitacs Globalink,Disha Patani,F,Married,Indraprastha School,Delhi technological University
100585,English,de_DE,Dentist,22,Silicon Valley,Disha Patani,A.P.J Abdul Kalam,M,single,DPS,MIT
100586,English,da_DK,General Physician,22,J.K Rowling,Silicon Valley,A.P.J Abdul Kalam,F,single,Indraprastha School,MIT
100587,Portugese,en_UD,Dentist,39,A.P.J Abdul Kalam,Mitacs Globalink,Narendra Modi,M,single,Mount Carmel,Maharaja Surajmal
100588,German,de_DE,Teacher,21,J.K Rowling,Terrible Tiny Tales,Shopmania,M,single,DPS,Amity
100589,English,en_US,Business Man,39,Narendra Modi,Mitacs Globalink,A.P.J Abdul Kalam,F,Married,Neo Convent,MIT
100590,Spanish,de_DE,General Physician,34,Disha Patani,A.P.J Abdul Kalam,Silicon Valley,M,Married,Indraprastha School,MIT
100591,German,ca_ES,Teacher,27,A.P.J Abdul Kalam,Silicon Valley,Vidyamandir Classes,F,single,Mount Carmel,MIT
100592,Hindi,gn_PY,Neurologist,36,Terrible Tiny Tales,MS Dhoni,Shopmania,F,Married,DPS,Maharaja Surajmal
100593,German,en_US,Mechanical Engineer,38,Mitacs Globalink,Disha Patani,Terrible Tiny Tales,M,single,DPS,Amity
100594,Spanish,de_DE,Mechanical Engineer,30,Disha Patani,Mitacs Globalink,Terrible Tiny Tales,M,single,Oxford School,CMU
100595,German,eu_ES,Neurologist,34,Shopmania,Vidyamandir Classes,Mitacs Globalink,M,Married,DPS,MIT
100596,German,en_US,General Physician,25,Disha Patani,Mitacs Globalink,Shopmania,F,single,Neo Convent,Amity
100597,English,da_DK,Dentist,31,Narendra Modi,Shopmania,A.P.J Abdul Kalam,F,Married,Oxford School,MIT
100598,Portugese,ca_ES,General Physician,31,Narendra Modi,Mitacs Globalink,Silicon Valley,F,single,Indraprastha School,Maharaja Surajmal
100599,Spanish,es_LA,Computer Engineer,38,Shopmania,Silicon Valley,Vidyamandir Classes,M,single,DPS,Delhi technological University
100600,Chinese,cs_CZ,Neurologist,28,Shopmania,Terrible Tiny Tales,A.P.J Abdul Kalam,F,single,Oxford School,Maharaja Surajmal
100601,Chinese,cs_CZ,Dentist,21,Mitacs Globalink,Narendra Modi,Shopmania,M,single,DPS,MIT
100602,Hindi,cs_CZ,Business Man,38,Silicon Valley,Mitacs Globalink,MS Dhoni,F,single,Oxford School,MIT
100603,English,es_ES,Dentist,31,A.P.J Abdul Kalam,Silicon Valley,Shopmania,M,single,Indraprastha School,Delhi technological University
100604,Hindi,es_LA,Civil Engineer,31,Shopmania,Narendra Modi,Mitacs Globalink,F,single,Indraprastha School,Maharaja Surajmal
100605,Spanish,cx_PH,Teacher,23,A.P.J Abdul Kalam,Shopmania,Terrible Tiny Tales,F,Married,Neo Convent,Maharaja Surajmal
100606,German,gn_PY,Neurologist,39,Narendra Modi,Mitacs Globalink,J.K Rowling,M,Married,Indraprastha School,Maharaja Surajmal
100607,Chinese,eu_ES,Dentist,35,Terrible Tiny Tales,A.P.J Abdul Kalam,Silicon Valley,M,Married,Neo Convent,MIT
100608,English,en_UD,Business Man,21,Terrible Tiny Tales,J.K Rowling,Vidyamandir Classes,M,single,Neo Convent,CMU
100609,Spanish,ca_ES,General Physician,39,Narendra Modi,Silicon Valley,Shopmania,F,single,Oxford School,Delhi technological University
100610,Spanish,gn_PY,General Physician,39,Narendra Modi,Vidyamandir Classes,Silicon Valley,M,single,Mount Carmel,Delhi technological University
100611,German,eu_ES,General Physician,34,Narendra Modi,Silicon Valley,Vidyamandir Classes,F,Married,DPS,Delhi technological University
100612,English,cs_CZ,Teacher,31,Mitacs Globalink,Disha Patani,A.P.J Abdul Kalam,M,single,Neo Convent,Maharaja Surajmal
100613,English,da_DK,Neurologist,29,Silicon Valley,A.P.J Abdul Kalam,MS Dhoni,F,single,Neo Convent,CMU
100614,Spanish,cx_PH,Mechanical Engineer,33,Terrible Tiny Tales,Shopmania,Vidyamandir Classes,M,Married,Neo Convent,Amity
100615,Chinese,ca_ES,Computer Engineer,35,Narendra Modi,A.P.J Abdul Kalam,Mitacs Globalink,F,single,Mount Carmel,MIT
100616,Portugese,ca_ES,Neurologist,22,Vidyamandir Classes,Silicon Valley,Shopmania,F,single,Indraprastha School,Maharaja Surajmal
100617,Chinese,es_LA,Mechanical Engineer,23,Narendra Modi,Mitacs Globalink,Shopmania,M,single,Mount Carmel,Maharaja Surajmal
100618,Hindi,es_LA,Teacher,29,Mitacs Globalink,Narendra Modi,Silicon Valley,M,single,DPS,Maharaja Surajmal
100619,Portugese,es_ES,General Physician,36,Terrible Tiny Tales,Disha Patani,Mitacs Globalink,F,single,Indraprastha School,MIT
100620,Spanish,gn_PY,Computer Engineer,34,Disha Patani,J.K Rowling,A.P.J Abdul Kalam,F,Married,DPS,MIT
100621,Spanish,en_UD,Civil Engineer,38,J.K Rowling,Narendra Modi,Mitacs Globalink,M,single,Oxford School,Amity
100622,Hindi,cx_PH,Civil Engineer,32,J.K Rowling,Disha Patani,Silicon Valley,M,Married,Mount Carmel,Delhi technological University
100623,Hindi,cs_CZ,Neurologist,26,J.K Rowling,MS Dhoni,Disha Patani,M,single,Oxford School,CMU
100624,English,cs_CZ,Neurologist,40,Mitacs Globalink,Disha Patani,Terrible Tiny Tales,M,Married,Oxford School,CMU
100625,English,es_LA,Business Man,29,Disha Patani,Terrible Tiny Tales,Mitacs Globalink,M,single,Neo Convent,MIT
100626,English,es_LA,Computer Engineer,39,Terrible Tiny Tales,Mitacs Globalink,MS Dhoni,F,Married,Indraprastha School,CMU
100627,English,eu_ES,Teacher,32,Terrible Tiny Tales,A.P.J Abdul Kalam,Silicon Valley,M,single,Oxford School,Maharaja Surajmal
100628,English,cs_CZ,Dentist,25,Silicon Valley,Vidyamandir Classes,J.K Rowling,F,single,DPS,Maharaja Surajmal
100629,German,en_UD,Business Man,26,Vidyamandir Classes,Silicon Valley,J.K Rowling,F,single,Neo Convent,Delhi technological University
100630,Hindi,cy_GB,Neurologist,23,MS Dhoni,Disha Patani,Shopmania,M,Married,Neo Convent,Maharaja Surajmal
100631,German,de_DE,General Physician,22,A.P.J Abdul Kalam,Mitacs Globalink,Narendra Modi,F,Married,Mount Carmel,Maharaja Surajmal
